topic_str,post,label,seen?,new_id,ori_topic,pred_label
obama president congressman,And Governor Romney at the beginning of this debate wrote and said what we did in Massachusetts could be a model for the nation.,2,0,59,obama president congressman,1
congress bipartisan congressional,"And I agree that the Democratic legislators in Massachusetts might have given some advice to Republicans in Congress about how to cooperate, but the fact of the matter is, we used the same advisers, and they say it's the same plan.",2,0,60,congress bipartisan congressional,1
obamacare healthcare insurance,"It when Governor Romney talks about this board, for example, unelected board that we've created, what this is, is a group of health care experts, doctors, et cetera, to figure out, how can we reduce the cost of care in the system overall?",2,0,61,obamacare healthcare insurance,1
obamacare healthcare insurance,Because there there are two ways of dealing with our health care crisis.,2,0,62,obamacare healthcare insurance,1
obamacare healthcare insurance,"One is to simply leave a whole bunch of people uninsured and let them fend for themselves, to let businesses figure out how long they can continue to pay premiums until finally they just give up, and their workers are no longer getting insured, and that's been the trend line.",2,0,63,obamacare healthcare insurance,1
obamacare healthcare seniors,"Or, alternatively, we can figure out, how do we make the cost of care more effective?",2,0,64,obamacare healthcare seniors,1
president obama legislation,And there are ways of doing it.,2,0,65,president obama legislation,0
obamacare healthcare insurance,"So at Cleveland Clinic, one of the best health care systems in the world, they actually provide great care cheaper than average.",2,0,66,obamacare healthcare insurance,1
president obama legislation,And the reason they do is because they do some smart things.,2,0,67,president obama legislation,0
obamacare healthcare insurance,"They they say, if a patient's coming in, let's get all the doctors together at once, do one test instead of having the patient run around with ten tests.",2,0,68,obamacare healthcare insurance,1
obamacare healthcare seniors,Let's make sure that we're providing preventive care so we're catching the onset of something like diabetes.,2,0,69,obamacare healthcare seniors,1
obamacare healthcare seniors,Let's let's pay providers on the basis of performance as opposed to on the basis of how many procedures they've they've engaged in.,2,0,70,obamacare healthcare seniors,1
obamacare healthcare seniors,"Now, so what this board does is basically identifies best practices and says, let's use the purchasing power of Medicare and Medicaid to help to institutionalize all these good things that we do.",2,0,71,obamacare healthcare seniors,1
obamacare healthcare insurance,"And the fact of the matter is that, when Obamacare is fully implemented, we're going to be in a position to show that costs are going down.",2,0,72,obamacare healthcare insurance,1
obamacare healthcare insurance,"And over the last two years, health care premiums have gone up it's true but they've gone up slower than any time in the last fifty years.",2,0,73,obamacare healthcare insurance,0
president obama legislation,So we're already beginning to see progress.,2,0,74,president obama legislation,1
obamacare healthcare insurance,"In the meantime, folks out there with insurance, you're already getting a rebate.",2,0,75,obamacare healthcare insurance,1
sen pass agree,Let me make one last point.,2,0,76,sen pass agree,1
obama president congressman,"Governor Romney says, we should replace it, I'm just going to repeal it, but but we can replace it with something.",2,0,77,obama president congressman,1
president obama legislation,"But the problem is, he hasn't described what exactly we'd replace it with, other than saying we're going to leave it to the states.",2,0,78,president obama legislation,0
obamacare healthcare insurance,"But the fact of the matter is that some of the prescriptions that he's offered, like letting you buy insurance across state lines, there's no indication that that somehow is going to help somebody who's got a pre existing condition be able to finally buy insurance.",2,0,79,obamacare healthcare insurance,1
obamacare healthcare insurance,"In fact, it's estimated that by repealing Obamacare, you're looking at fifty million people losing health insurance|",2,0,80,obamacare healthcare insurance,1
vote voted republicans,at a time when it's vitally important.,2,0,81,vote voted republicans,1
syria war obama,Let me just point out first of all this board that we're talking about can't make decisions about what treatments are given.,2,0,82,syria war obama,2
president obama legislation,That's explicitly prohibited in the law.,2,0,83,president obama legislation,0
obamacare healthcare insurance,"But let's go back to what Governor Romney indicated, that under his plan, he would be able to cover people with preexisting conditions.",2,0,84,obamacare healthcare insurance,1
obama president congressman,"Well, actually Governor, that isn't what your plan does.",2,0,85,obama president congressman,0
obamacare healthcare insurance,"What your plan does is to duplicate what's already the law, which says if you are out of health insurance for three months, then you can end up getting continuous coverage and an insurance company can't deny you if you've if it's been under ninety days.",2,0,86,obamacare healthcare insurance,1
obamacare healthcare insurance,But that's already the law and that doesn't help the millions of people out there with preexisting conditions.,2,0,87,obamacare healthcare insurance,1
obama president congressman,There's a reason why Governor Romney set up the plan that he did in Massachusetts.,2,0,88,obama president congressman,1
obamacare healthcare insurance,It wasn't a government takeover of health care.,2,0,89,obamacare healthcare insurance,1
obamacare healthcare insurance,It was the largest expansion of private insurance.,2,0,90,obamacare healthcare insurance,1
obamacare healthcare insurance,"But what it does say is that insurers, you've got to take everybody.",2,0,91,obamacare healthcare insurance,1
congrats congratulations honored,"Now, that also means that you've got more customers.",2,0,92,congrats congratulations honored,1
obamacare healthcare insurance,"But when when Governor Romney says that he'll replace it with something, but can't detail how it will be in fact replaced and the reason he set up the system he did in Massachusetts was because there isn't a better way of dealing with the preexisting conditions problem.",2,0,93,obamacare healthcare insurance,1
spending bipartisan obamacare,"It just reminds me of, you know, he says that he's going to close deductions and loopholes for his tax plan.",2,0,94,spending bipartisan obamacare,0
spending bipartisan obamacare,"That's how it's going to be paid for, but we don't know the details.",2,0,95,spending bipartisan obamacare,0
senator senate congressman,"He says that he's going to replace Dodd Frank, Wall Street reform, but we don't know exactly which ones.",2,0,96,senator senate congressman,0
vote voted republicans,He won't tell us.,2,0,97,vote voted republicans,0
obamacare healthcare insurance,He now says he's going to replace Obamacare and ensure that all the good things that are in it are going to be in there and you don't have to worry.,2,0,98,obamacare healthcare insurance,1
obama president congressman,"And at some point, I think the American people have to ask themselves, is the reason that Governor Romney is keeping all these plans to replace secret because they're too good?",2,0,99,obama president congressman,0
workers obamacare jobs,Is it is it because that somehow middle class families are going to benefit too much from them?,2,0,100,workers obamacare jobs,2
sen pass agree,No.,2,0,101,sen pass agree,1
jobs economy job,"The reason is, is because, when we reform Wall Street, when we tackle the problem of pre existing conditions, then, you know, these are tough problems and we've got to make choices.",2,0,102,jobs economy job,1
workers obamacare jobs,And the choices we've made have been ones that ultimately are benefiting middle class families all across the country.,2,0,103,workers obamacare jobs,2
sen pass agree,"Well, I definitely think there are differences.",2,0,104,sen pass agree,2
obamacare congressional congress,The first role of the federal government is to keep the American people safe.,2,0,105,obamacare congressional congress,1
sen pass agree,That's its most basic function.,2,0,106,sen pass agree,1
president obama legislation,"And as commander in chief, that is something that I've worked on and thought about every single day that I've been in the Oval Office.",2,0,107,president obama legislation,1
jobs economy job,"But I also believe that government has the capacity, the federal government has the capacity to help open up opportunity and create ladders of opportunity and to create frameworks where the American people can succeed.",2,0,108,jobs economy job,1
businesses business economic,"Look, the genius of America is the free enterprise system and freedom and the fact that people can go out there and start a business, work on an idea, make their own decisions.",2,0,109,businesses business economic,1
obama honored honor,"But as Abraham Lincoln understood, there are also some things we do better together.",2,0,110,obama honored honor,1
education students school,"So, in the middle of the Civil War, Abraham Lincoln said, let's help to finance the Transcontinental Railroad, let's start the National Academy of Sciences, let's start land grant colleges, because we want to give these gateways of opportunity for all Americans, because if all Americans are getting opportunity, we're all going to be better off.",2,0,111,education students school,1
president obama legislation,That doesn't restrict people's freedom.,2,0,112,president obama legislation,1
sen pass agree,That enhances it.,2,0,113,sen pass agree,2
president obama legislation,And so what I've tried to do as president is to apply those same principles.,2,0,114,president obama legislation,1
education students school,And when it comes to education what I've said is we've got to reform schools that are not working.,2,0,115,education students school,1
president obama legislation,We use something called Race to the Top.,2,0,116,president obama legislation,0
obama president congressman,"Wasn't a top down approach, Governor.",2,0,117,obama president congressman,0
spending bipartisan obamacare,"What we've said is to states, we'll give you more money if you initiate refor Miss And as a consequence, you had forty six states around the country who have made a real difference.",2,0,118,spending bipartisan obamacare,1
jobs economy job,But what I've also said is let's hire another one hundred thousand math and science teachers to make sure we maintain our technological lead and our people are skilled and able to succeed.,2,0,119,jobs economy job,1
vote voted republicans,And hard pressed states right now can't all do that.,2,0,120,vote voted republicans,1
education students school,"In fact we've seen layoffs of hundreds of thousands of teachers over the last several years, and Governor Romney doesn't think we need more teachers.",2,0,121,education students school,0
obamacare healthcare seniors,"I do, because I think that that is the kind of investment where the federal government can help.",2,0,122,obamacare healthcare seniors,1
sen pass agree,"It can't do it all, but it can make a difference.",2,0,123,sen pass agree,2
jobs economy job,And as a consequence we'll have a better trained workforce and that will create jobs because companies want to locate in places where we've got a skilled workforce.,2,0,124,jobs economy job,1
syria war obama,"Well, as I've indicated, I think that it has a significant role to play.",2,0,125,syria war obama,2
congress bipartisan congressional,"Through our Race to the Top program, we've worked with Republican and Democratic governors to initiate major reforms, and they're having an impact right now.",2,0,126,congress bipartisan congressional,1
spending bipartisan obamacare,"You know, this is where budgets matter, because budgets reflect choices.",2,0,127,spending bipartisan obamacare,1
obama president congressman,"So when Governor Romney indicates that he wants to cut taxes and potentially benefit folks like me and him, and to pay for it we're having to initiate significant cuts in federal support for education, that makes a difference.",2,0,128,obama president congressman,2
spending bipartisan obamacare,"You know, his his running mate, Congressman Ryan, put forward a budget that reflects many of the principles that Governor Romney's talked about.",2,0,129,spending bipartisan obamacare,1
spending bipartisan obamacare,And it wasn't very detailed.,2,0,130,spending bipartisan obamacare,0
sen pass agree,This seems to be a trend.,2,0,131,sen pass agree,1
spending bipartisan obamacare,"But but what it did do is to if you extrapolated how much money we're talking about, you'd look at cutting the education budget by up to twenty percent.",2,0,132,spending bipartisan obamacare,1
education students school,"When it comes to community colleges, we are seeing great work done out there all over the country because we have the opportunity to train people for jobs that exist right now.",2,0,133,education students school,1
education students school,And one of the things I suspect Governor Romney and I probably agree on is getting businesses to work with community colleges so that they're setting up their training progra Miss |,2,0,134,education students school,2
sen pass agree,Let me just finish the point.,2,0,135,sen pass agree,2
education students school,The where they're partnering so that they're designing training progra Miss And people who are going through them know that there's a job waiting for them if they complete it.,2,0,136,education students school,1
president obama legislation,"That makes a big difference, but that requires some federal support.",2,0,137,president obama legislation,1
congress bipartisan congressional,Let me just say one final example.,2,0,138,congress bipartisan congressional,0
education students school,"When it comes to making college affordable, whether it's two year or four year, one of the things that I did as president was we were sending dollar sixty billion to banks and lenders as middlemen for the student loan program, even though the loans were guaranteed.",2,0,139,education students school,1
spending bipartisan obamacare,"So there was no risk for the banks or the lenders, but they were taking billions out of the system.",2,0,140,spending bipartisan obamacare,0
spending bipartisan obamacare,"And we said, Why not cut out the middleman?",2,0,141,spending bipartisan obamacare,1
education students school,"And as a consequence, what we've been able to do is to provide millions more students assistance, lower or keep low interest rates on student loans.",2,0,142,education students school,1
veterans honored military,And this is an example of where our priorities make a difference.,2,0,143,veterans honored military,1
education students school,"Governor Romney, I genuinely believe cares about education, but when he tells a student that, you know, you should borrow money from your parents to go to college, you know, that indicates the degree to which, you know, there may not be as much of a focus on the fact that folks like myself, folks like Michelle, kids probably who attend University of Denver, just don't have that option.",2,0,144,education students school,1
education students school,"And for us to be able to make sure that they've got that opportunity and they can walk through that door, that is vitally important not just to those kids.",2,0,145,education students school,1
jobs economy job,It's how we're going to grow this economy over the long term.,2,0,146,jobs economy job,1
congrats congratulations honored,You've done a great job.,2,0,147,congrats congratulations honored,1
obama president congressman,"Well, first of all, I think Governor Romney's going to have a busy first day, because he's also going to repeal Obamacare, which will not be very popular among Democrats as you're sitting down with them.",2,0,148,obama president congressman,1
workers obamacare jobs,"But, look, my philosophy has been, I will take ideas from anybody, Democrat or Republican, as long as they're advancing the cause of making middle class families stronger and giving ladders of opportunity to the middle class.",2,0,149,workers obamacare jobs,2
businesses business economic,That's how we cut taxes for middle class families and small businesses.,2,0,150,businesses business economic,1
spending bipartisan obamacare,That's how we cut a trillion dollars of spending that wasn't advancing that cause.,2,0,151,spending bipartisan obamacare,0
jobs economy job,That's how we signed three trade deals into law that are helping us to double our exports and sell more American products around the world.,2,0,152,jobs economy job,1
president obama legislation,That's how we repealed don't ask/don't tell.,2,0,153,president obama legislation,0
syria war obama,"That's how we ended the war in Iraq, as I promised, and that's how we're going to wind down the war in Afghanistan.",2,0,154,syria war obama,0
obama obamacare administration,That's how we went after Al Qaida and bin Laden.,2,0,155,obama obamacare administration,0
congress bipartisan congressional,So we've we've seen progress even under Republican control of the House of Representatives.,2,0,156,congress bipartisan congressional,1
obama president congressman,"But, ultimately, part of being principled, part of being a leader is, A, being able to describe exactly what it is that you intend to do, not just saying, I'll sit down, but you have to have a plan.",2,0,157,obama president congressman,1
vote voted republicans,"Number two, what's important is occasionally you've got to say no, to to to folks both in your own party and in the other party.",2,0,158,vote voted republicans,1
spending bipartisan obamacare,"And, you know, yes, have we had some fights between me and the Republicans when when they fought back against us reining in the excesses of Wall Street?",2,0,159,spending bipartisan obamacare,0
congrats congratulations honored,"Absolutely, because that was a fight that needed to be had.",2,0,160,congrats congratulations honored,1
obamacare healthcare insurance,"When when we were fighting about whether or not we were going to make sure that Americans had more security with their health insurance and they said no, yes, that was a fight that we needed to have.",2,0,161,obamacare healthcare insurance,1
president obama legislation,"And so part of leadership and governing is both saying what it is that you are for, but also being willing to say no to some things.",2,0,162,president obama legislation,0
obama president congressman,"And I've got to tell you, Governor Romney, when it comes to his own party during the course of this campaign, has not displayed that willingness to say no to some of the more extreme parts of his party.",2,0,163,obama president congressman,0
obama president congressman,"Well, Jim, I want to thank you, and I want to thank Governor Romney, because I think was a terrific debate, and I very much appreciate it.",2,0,164,obama president congressman,1
icymi congrats congratulations,And I want to thank the University of Denver.,2,0,165,icymi congrats congratulations,1
obama obamacare administration,"You know, four years ago, we were going through a major crisis.",2,0,166,obama obamacare administration,0
obama president congressman,And yet my faith and confidence in the American future is undiminished.,2,0,167,obama president congressman,1
workers obamacare jobs,"And the reason is because of its people, because of the woman I met in North Carolina who decided at fifty five to go back to school because she wanted to inspire her daughter and now has a job from that new training that she's gotten; because a company in Minnesota who was willing to give up salaries and perks for their executives to make sure that they didn't lay off workers during a recession.",2,0,168,workers obamacare jobs,1
washington honored county,"The auto workers that you meet in Toledo or Detroit take such pride in building the best cars in the world, not just because of a paycheck, but because it gives them that sense of pride, that they're helping to build America.",2,0,169,washington honored county,2
syria war obama,And so the question now is how do we build on those strengths.,2,0,170,syria war obama,2
jobs economy job,"And everything that I've tried to do, and everything that I'm now proposing for the next four years in terms of improving our education system or developing American energy or making sure that we're closing loopholes for companies that are shipping jobs overseas and focusing on small businesses and companies that are creating jobs here in the United States, or closing our deficit in a responsible, balanced way that allows us to invest in our future.",2,0,171,jobs economy job,1
president obama legislation,"All those things are designed to make sure that the American people, their genius, their grit, their determination, is is channeled and and they have an opportunity to succeed.",2,0,172,president obama legislation,1
icymi congrats congratulations,And everybody's getting a fair shot.,2,0,173,icymi congrats congratulations,1
workers obamacare jobs,"And everybody's getting a fair share everybody's doing a fair share, and everybody's playing by the same rules.",2,0,174,workers obamacare jobs,2
president obama legislation,"You know, four years ago, I said that I'm not a perfect man and I wouldn't be a perfect president.",2,0,175,president obama legislation,2
obama president congressman,And that's probably a promise that Governor Romney thinks I've kept.,2,0,176,obama president congressman,1
workers obamacare jobs,"But I also promised that I'd fight every single day on behalf of the American people, the middle class, and all those who were striving to get into the middle class.",2,0,177,workers obamacare jobs,1
vote voted republicans,"I've kept that promise and if you'll vote for me, then I promise I'll fight just as hard in a second term.",2,0,178,vote voted republicans,1
congrats congratulations honored,"Jeremy, first of all, your future is bright.",2,0,179,congrats congratulations honored,1
education students school,And the fact that you're making an investment in higher education is critical.,2,0,180,education students school,1
congratulations congrats happy,"Not just to you, but to the entire nation.",2,0,181,congratulations congrats happy,1
jobs economy job,"Now, the most important thing we can do is to make sure that we are creating jobs in this country.",2,0,182,jobs economy job,1
jobs economy job,"But not just jobs, good paying jobs.",2,0,183,jobs economy job,1
workers obamacare jobs,Ones that can support a family.,2,0,184,workers obamacare jobs,2
jobs economy job,"And what I want to do, is build on the five million jobs that we've created over the last thirty months in the private sector alone.",2,0,185,jobs economy job,1
education students school,And there are a bunch of things we can do to make sure your future is bright.,2,0,186,education students school,1
jobs economy job,"Number one, I want to build manufacturing jobs in this country again.",2,0,187,jobs economy job,1
obama president congressman,Now when Governor Romney said we should let Detroit go bankrupt.,2,0,188,obama president congressman,0
jobs economy job,I said we're going to bet on American workers and the American auto industry and it's come surging back.,2,0,189,jobs economy job,1
jobs economy job,"I want to do that in industries, not just in Detroit, but all across the country and that means we change our tax code so we're giving incentives to companies that are investing here in the United States and creating jobs here.",2,0,190,jobs economy job,1
businesses business economic,It also means we're helping them and small businesses to export all around the world to new markets.,2,0,191,businesses business economic,1
education students school,"Number two, we've got to make sure that we have the best education system in the world.",2,0,192,education students school,1
education students school,"And the fact that you're going to college is great, but I want everybody to get a great education and we've worked hard to make sure that student loans are available for folks like you, but I also want to make sure that community colleges are offering slots for workers to get retrained for the jobs that are out there right now and the jobs of the future.",2,0,193,education students school,1
energy obama obamacare,"Number three, we've got to control our own energy.",2,0,194,energy obama obamacare,2
energy obama obamacare,"Now, not only oil and natural gas, which we've been investing in; but also, we've got to make sure we're building the energy source of the future, not just thinking about next year, but ten years from now, twenty years from now.",2,0,195,energy obama obamacare,2
energy obama obamacare,"That's why we've invested in solar and wind and biofuels, energy efficient cars.",2,0,196,energy obama obamacare,1
spending bipartisan obamacare,"We've got to reduce our deficit, but we've got to do it in a balanced way.",2,0,197,spending bipartisan obamacare,1
education students school,Asking the wealthy to pay a little bit more along with cuts so that we can invest in education like yours.,2,0,198,education students school,0
spending bipartisan obamacare,"And let's take the money that we've been spending on war over the last decade to rebuild America, roads, bridges schools.",2,0,199,spending bipartisan obamacare,0
president obama legislation,"We do those things, not only is your future going to be bright but America's future is going to bright as well.",2,0,200,president obama legislation,1
obama president congressman,"Candy, what Governor Romney said just isn't true.",2,0,201,obama president congressman,0
businesses business economic,He wanted to take them into bankruptcy without providing them any way to stay open.,2,0,202,businesses business economic,0
jobs economy job,And we would have lost a million jobs.,2,0,203,jobs economy job,0
obama president congressman,"And that don't take my word for it, take the executives at GM and Chrysler, some of whom are Republicans, may even support Governor Romney.",2,0,204,obama president congressman,1
jobs economy job,But they'll tell you his prescription wasn't going to work.,2,0,205,jobs economy job,2
obama president congressman,And Governor Romney's says he's got a five point plan?,2,0,206,obama president congressman,2
obama president congressman,Governor Romney doesn't have a five point plan.,2,0,207,obama president congressman,0
sen pass agree,He has a one point plan.,2,0,208,sen pass agree,1
president obama legislation,And that plan is to make sure that folks at the top play by a different set of rules.,2,0,209,president obama legislation,0
obama president congressman,"That's been his philosophy in the private sector, that's been his philosophy as governor, that's been his philosophy as a presidential candidate.",2,0,210,obama president congressman,1
workers obamacare jobs,You can make a lot of money and pay lower tax rates than somebody who makes a lot less.,2,0,211,workers obamacare jobs,2
jobs economy job,You can ship jobs overseas and get tax breaks for it.,2,0,212,jobs economy job,1
businesses business economic,"You can invest in a company, bankrupt it, lay off the workers, strip away their pensions, and you still make money.",2,0,213,businesses business economic,0
president obama legislation,That's exactly the philosophy that we've seen in place for the last decade.,2,0,214,president obama legislation,0
workers obamacare jobs,That's what's been squeezing middle class families.,2,0,215,workers obamacare jobs,2
president obama legislation,And we have fought back for four years to get out of that mess.,2,0,216,president obama legislation,0
president obama legislation,The last thing we need to do is to go back to the very same policies that got us there.,2,0,217,president obama legislation,1
energy obama obamacare,The most important thing we can do is to make sure we control our own energy.,2,0,218,energy obama obamacare,1
president obama legislation,So here's what I've done since I've been president.,2,0,219,president obama legislation,0
energy obama obamacare,We have increased oil production to the highest levels in sixteen years.,2,0,220,energy obama obamacare,1
energy obama obamacare,Natural gas production is the highest it's been in decades.,2,0,221,energy obama obamacare,2
jobs economy job,We have seen increases in coal production and coal employment.,2,0,222,jobs economy job,1
energy obama obamacare,But what I've also said is we can't just produce traditional source of energy.,2,0,223,energy obama obamacare,1
syria war obama,We've also got to look to the future.,2,0,224,syria war obama,0
energy obama obamacare,That's why we doubled fuel efficiency standards on cars.,2,0,225,energy obama obamacare,1
energy obama obamacare,"That means that in the middle of the next decade, any car you buy, you're going to end up going twice as far on a gallon of gas.",2,0,226,energy obama obamacare,2
energy obama obamacare,That's why we doubled clean clean energy production like wind and solar and biofuels.,2,0,227,energy obama obamacare,1
energy obama obamacare,And all these things have contributed to us lowering our oil imports to the lowest levels in sixteen years.,2,0,228,energy obama obamacare,2
congress bipartisan congressional,"Now, I want to build on that.",2,0,229,congress bipartisan congressional,1
energy obama obamacare,"And that means, yes, we still continue to open up new areas for drilling.",2,0,230,energy obama obamacare,2
energy obama obamacare,We continue to make it a priority for us to go after natural gas.,2,0,231,energy obama obamacare,1
energy obama obamacare,We've got potentially six hundred thousand jobs and one hundred years worth of energy right beneath our feet with natural gas.,2,0,232,energy obama obamacare,2
energy obama obamacare,And we can do it in an environmentally sound way.,2,0,233,energy obama obamacare,2
energy obama obamacare,"But we've also got to continue to figure out how we have efficiency energy, because ultimately that's how we're going to reduce demand and that's what's going to keep gas prices lower.",2,0,234,energy obama obamacare,1
energy obama obamacare,"Now, Governor Romney will say he's got an all of the above plan, but basically his plan is to let the oil companies write the energy policies.",2,0,235,energy obama obamacare,2
energy obama obamacare,"So he's got the oil and gas part, but he doesn't have the clean energy part.",2,0,236,energy obama obamacare,2
spending bipartisan obamacare,"And if we are only thinking about tomorrow or the next day and not thinking about ten years from now, we're not going to control our own economic future.",2,0,237,spending bipartisan obamacare,0
jobs economy job,"Because China, Germany, they're making these investments.",2,0,238,jobs economy job,2
jobs economy job,And I'm not going to cede those jobs of the future to those countries.,2,0,239,jobs economy job,2
energy obama obamacare,I expect those new energy sources to be built right here in the United States.,2,0,240,energy obama obamacare,1
